FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2017,2018,2019,2020,2021,2022
A,Annual,EGY,"Egypt, Arab Rep.",FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.83,3.88,3.88,3.73,3.88,4.55
A,Annual,ESP,Spain,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.53,2.57,2.7,2.75,2.91,3.35
A,Annual,EST,Estonia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.14,3.21,3.35,3.43,3.41,3.88
A,Annual,ETH,Ethiopia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.83,2.86,2.99,3.1,3.37,3.72
A,Annual,FIN,Finland,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.53,2.61,2.72,2.81,2.88,3.29
A,Annual,FJI,Fiji,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.24,3.3,3.46,3.51,3.91,4.28
A,Annual,FRA,France,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.58,2.65,2.83,2.94,3.04,3.42
A,Annual,GAB,Gabon,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.25,3.3,3.38,3.43,3.61,3.96
A,Annual,GBR,United Kingdom,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,1.7,1.75,1.83,1.86,1.93,2.12
A,Annual,GHA,Ghana,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.45,3.54,3.62,3.7,3.89,4.29
A,Annual,GIN,Guinea,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.26,2.39,2.48,2.56,2.75,3.06
A,Annual,GMB,"Gambia, The",FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.65,2.71,2.75,2.8,3.0,3.31
A,Annual,GNB,Guinea-Bissau,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.95,3.03,3.11,3.2,3.44,3.73
A,Annual,GNQ,Equatorial Guinea,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.67,3.75,3.79,3.83,3.97,4.32
A,Annual,GRC,Greece,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.93,2.99,3.1,3.13,3.25,3.74
A,Annual,GRD,Grenada,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,4.52,4.65,4.72,4.87,5.12,5.7
A,Annual,GTM,Guatemala,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.43,2.58,2.73,2.85,3.0,3.31
A,Annual,GUY,Guyana,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,4.63,4.74,4.83,4.89,5.12,5.53
A,Annual,HKG,"Hong Kong SAR, China",FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.64,3.81,3.93,4.13,4.43,4.88
A,Annual,HND,Honduras,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.63,3.69,3.68,3.77,3.89,4.37
A,Annual,HRV,Croatia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.31,3.35,3.44,3.53,3.66,4.21
A,Annual,HTI,Haiti,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.93,4.07,4.28,4.49,4.81,5.26
